College,Gender,Race,Year,demographics tooltip,Number of students
Architecture,Female,"White, only",2018,190 (0.4%) students,190
Architecture,Female,Unknown or Blank,2018,9 (0.0%) students,9
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2018,10 (0.0%) students,10
Architecture,Female,Non-resident Alien,2018,58 (0.1%) students,58
Architecture,Female,Hispanic,2018,65 (0.1%) students,65
Architecture,Female,"Black or African American, two or more excluding Hispanic",2018,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Black or African American, only",2018,25 (0.0%) students,25
Architecture,Female,"Asian, only",2018,45 (0.1%) students,45
Architecture,Female,"White, only",2017,193 (0.4%) students,193
Architecture,Female,Unknown or Blank,2017,9 (0.0%) students,9
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2017,10 (0.0%) students,10
Architecture,Female,Non-resident Alien,2017,69 (0.1%) students,69
Architecture,Female,Hispanic,2017,60 (0.1%) students,60
Architecture,Female,"Black or African American, two or more excluding Hispanic",2017,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Black or African American, only",2017,24 (0.0%) students,24
Architecture,Female,"Asian, only",2017,46 (0.1%) students,46
Architecture,Female,"White, only",2016,198 (0.4%) students,198
Architecture,Female,Unknown or Blank,2016,13 (0.0%) students,13
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2016,8 (0.0%) students,8
Architecture,Female,Non-resident Alien,2016,65 (0.1%) students,65
Architecture,Female,Hispanic,2016,56 (0.1%) students,56
Architecture,Female,"Black or African American, two or more excluding Hispanic",2016,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Black or African American, only",2016,20 (0.0%) students,20
Architecture,Female,"Asian, only",2016,36 (0.1%) students,36
Architecture,Female,"White, only",2015,213 (0.4%) students,213
Architecture,Female,Unknown or Blank,2015,9 (0.0%) students,9
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2015,11 (0.0%) students,11
Architecture,Female,Non-resident Alien,2015,51 (0.1%) students,51
Architecture,Female,Hispanic,2015,61 (0.1%) students,61
Architecture,Female,"Black or African American, two or more excluding Hispanic",2015,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Black or African American, only",2015,12 (0.0%) students,12
Architecture,Female,"Asian, only",2015,28 (0.1%) students,28
Architecture,Female,"White, only",2014,220 (0.4%) students,220
Architecture,Female,Unknown or Blank,2014,7 (0.0%) students,7
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2014,11 (0.0%) students,11
Architecture,Female,Non-resident Alien,2014,51 (0.1%) students,51
Architecture,Female,Hispanic,2014,56 (0.1%) students,56
Architecture,Female,"Black or African American, two or more excluding Hispanic",2014,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Black or African American, only",2014,13 (0.0%) students,13
Architecture,Female,"Asian, only",2014,30 (0.1%) students,30
Architecture,Female,"White, only",2013,222 (0.4%) students,222
Architecture,Female,Unknown or Blank,2013,No students match your selections or these data are privacy suppressed.,
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2013,11 (0.0%) students,11
Architecture,Female,Non-resident Alien,2013,51 (0.1%) students,51
