College,Gender,Race,Year,Number of students
Architecture,Female,"White, only",2018,190
Architecture,Female,Unknown or Blank,2018,9
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2018,10
Architecture,Female,Non-resident Alien,2018,58
Architecture,Female,Hispanic,2018,65
Architecture,Female,"Black or African American, two or more excluding Hispanic",2018,0
Architecture,Female,"Black or African American, only",2018,25
Architecture,Female,"Asian, only",2018,45
Architecture,Female,"White, only",2017,193
Architecture,Female,Unknown or Blank,2017,9
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2017,10
Architecture,Female,Non-resident Alien,2017,69
Architecture,Female,Hispanic,2017,60
Architecture,Female,"Black or African American, two or more excluding Hispanic",2017,0
Architecture,Female,"Black or African American, only",2017,24
Architecture,Female,"Asian, only",2017,46
Architecture,Female,"White, only",2016,198
Architecture,Female,Unknown or Blank,2016,13
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2016,8
Architecture,Female,Non-resident Alien,2016,65
Architecture,Female,Hispanic,2016,56
Architecture,Female,"Black or African American, two or more excluding Hispanic",2016,0
Architecture,Female,"Black or African American, only",2016,20
Architecture,Female,"Asian, only",2016,36
Architecture,Female,"White, only",2015,213
Architecture,Female,Unknown or Blank,2015,9
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2015,11
Architecture,Female,Non-resident Alien,2015,51
Architecture,Female,Hispanic,2015,61
Architecture,Female,"Black or African American, two or more excluding Hispanic",2015,0
Architecture,Female,"Black or African American, only",2015,12
Architecture,Female,"Asian, only",2015,28
Architecture,Female,"White, only",2014,220
Architecture,Female,Unknown or Blank,2014,7
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2014,11
Architecture,Female,Non-resident Alien,2014,51
Architecture,Female,Hispanic,2014,56
Architecture,Female,"Black or African American, two or more excluding Hispanic",2014,0
Architecture,Female,"Black or African American, only",2014,13
Architecture,Female,"Asian, only",2014,30
Architecture,Female,"White, only",2013,222
Architecture,Female,Unknown or Blank,2013,0
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2013,11
Architecture,Female,Non-resident Alien,2013,51
Architecture,Female,Hispanic,2013,59
Architecture,Female,"Black or African American, two or more excluding Hispanic",2013,5
Architecture,Female,"Black or African American, only",2013,13
Architecture,Female,"Asian, only",2013,31
Architecture,Female,"White, only",2012,233
Architecture,Female,Unknown or Blank,2012,0
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2012,12
Architecture,Female,Non-resident Alien,2012,41
Architecture,Female,Hispanic,2012,51
Architecture,Female,"Black or African American, two or more excluding Hispanic",2012,5
Architecture,Female,"Black or African American, only",2012,13
Architecture,Female,"Asian, only",2012,36
Architecture,Female,"White, only",2011,261
Architecture,Female,Unknown or Blank,2011,7
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2011,6
Architecture,Female,Non-resident Alien,2011,49
Architecture,Female,Hispanic,2011,43
Architecture,Female,"Black or African American, two or more excluding Hispanic",2011,0
Architecture,Female,"Black or African American, only",2011,15
Architecture,Female,"Asian, only",2011,38
Architecture,Female,"White, only",2010,250
Architecture,Female,Unknown or Blank,2010,8
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2010,0
Architecture,Female,Non-resident Alien,2010,38
Architecture,Female,Hispanic,2010,36
Architecture,Female,"Black or African American, two or more excluding Hispanic",2010,0
Architecture,Female,"Black or African American, only",2010,14
Architecture,Female,"Asian, only",2010,39
Architecture,Female,"White, only",2009,244
Architecture,Female,Unknown or Blank,2009,6
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2009,0
Architecture,Female,Non-resident Alien,2009,27
Architecture,Female,Hispanic,2009,32
Architecture,Female,"Black or African American, two or more excluding Hispanic",2009,0
Architecture,Female,"Black or African American, only",2009,12
Architecture,Female,"Asian, only",2009,36
Architecture,Female,"White, only",2008,243
Architecture,Female,Unknown or Blank,2008,6
Architecture,Female,"Two or more, excluding Hispanic and Black or African American",2008,0
Architecture,Female,Non-resident Alien,2008,33
Architecture,Female,Hispanic,2008,25
Architecture,Female,"Black or African American, two or more excluding Hispanic",2008,0
Architecture,Female,"Black or African American, only",2008,11
Architecture,Female,"Asian, only",2008,33
Architecture,Male,"White, only",2018,135
Architecture,Male,Unknown or Blank,2018,7
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2018,9
Architecture,Male,Non-resident Alien,2018,32
Architecture,Male,Hispanic,2018,63
Architecture,Male,"Black or African American, only",2018,12
Architecture,Male,"Asian, only",2018,18
Architecture,Male,"White, only",2017,133
Architecture,Male,Unknown or Blank,2017,5
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2017,11
Architecture,Male,Non-resident Alien,2017,41
Architecture,Male,Hispanic,2017,56
Architecture,Male,"Black or African American, only",2017,13
Architecture,Male,"Asian, only",2017,18
Architecture,Male,"White, only",2016,134
Architecture,Male,Unknown or Blank,2016,7
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2016,8
Architecture,Male,Non-resident Alien,2016,33
Architecture,Male,Hispanic,2016,55
Architecture,Male,"Black or African American, only",2016,13
Architecture,Male,"Asian, only",2016,17
Architecture,Male,"White, only",2015,124
Architecture,Male,Unknown or Blank,2015,6
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2015,0
Architecture,Male,Non-resident Alien,2015,33
Architecture,Male,Hispanic,2015,51
Architecture,Male,"Black or African American, only",2015,11
Architecture,Male,"Asian, only",2015,15
Architecture,Male,"White, only",2014,116
Architecture,Male,Unknown or Blank,2014,0
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2014,6
Architecture,Male,Non-resident Alien,2014,42
Architecture,Male,Hispanic,2014,52
Architecture,Male,"Black or African American, only",2014,9
Architecture,Male,"Asian, only",2014,14
Architecture,Male,"White, only",2013,133
Architecture,Male,Unknown or Blank,2013,5
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2013,5
Architecture,Male,Non-resident Alien,2013,47
Architecture,Male,Hispanic,2013,56
Architecture,Male,"Black or African American, only",2013,9
Architecture,Male,"Asian, only",2013,7
Architecture,Male,"White, only",2012,176
Architecture,Male,Unknown or Blank,2012,0
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2012,5
Architecture,Male,Non-resident Alien,2012,42
Architecture,Male,Hispanic,2012,51
Architecture,Male,"Black or African American, only",2012,10
Architecture,Male,"Asian, only",2012,8
Architecture,Male,"White, only",2011,213
Architecture,Male,Unknown or Blank,2011,5
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2011,0
Architecture,Male,Non-resident Alien,2011,36
Architecture,Male,Hispanic,2011,45
Architecture,Male,"Black or African American, only",2011,7
Architecture,Male,"Asian, only",2011,13
Architecture,Male,"White, only",2010,216
Architecture,Male,Unknown or Blank,2010,6
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2010,0
Architecture,Male,Non-resident Alien,2010,26
Architecture,Male,Hispanic,2010,42
Architecture,Male,"Black or African American, only",2010,9
Architecture,Male,"Asian, only",2010,15
Architecture,Male,"White, only",2009,234
Architecture,Male,Unknown or Blank,2009,11
Architecture,Male,"Two or more, excluding Hispanic and Black or African American",2009,0
Architecture,Male,Non-resident Alien,2009,35
Architecture,Male,Hispanic,2009,41
Architecture,Male,"Black or African American, only",2009,9
Architecture,Male,"Asian, only",2009,17
Architecture,Male,"White, only",2008,221
Architecture,Male,Unknown or Blank,2008,10
